smiles,affinity
CC(C)(C)NC(=O)C(c1c(C(=O)O)[nH]c2cc(Cl)ccc12)N(Cc1ccccc1)C(=O)Cc1ccc(OC(F)(F)F)cc1,-9.67
COC(=O)CSc1nnc(C)s1,-6.06
C=CCn1c(O)c(N=NC(=O)c2ccccc2F)c2ccc(C)cc21,-7.54
Cc1ccccc1CC(=O)N1CCC(C)CC1,-6.81
CCOC(=O)c1cn(Cc2ccccc2C#N)nc1-c1ccccc1OC,-7.34
COc1ccc(CCNC(=O)NC(=O)c2ccc(Oc3ccccc3)cc2NC=O)cc1,-9.01
CCC(C)NC(=O)COC(=O)c1cc(OC)c(OC)c(OC)c1,-5.51
COC(=O)N(C)c1c(N)nc(-c2nn(Cc3ccccc3F)c3ncccc23)nc1N,-7.3
Cc1c(CNC2CCOCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,-9.08
CCOCCC(=O)NCC1Cc2ccccc2CO1,-6.16
CN1CCN(c2ccccc2NC(=O)NCCc2nc3ccccc3[nH]2)CC1,-7.93
C=CC(=O)Nc1cccc(-c2c[nH]c3ncnc(Nc4ccc(OC)cc4)c23)c1,-7.96
COc1ccc(N2C(=O)NC(NC(=O)c3cccc(Br)c3)(C(F)(F)F)C2=O)cc1,-7.61
CN1CCN(c2nc(CN3CCC(C(N)=O)CC3)cs2)CC1,-6.98
Cc1nc(C#N)c(-c2ccc(CCC(N)(CO)CO)cc2)n1C1CC1,-8.15
O=C1C(=O)c2c(sc3c2CCCC3)N=C1NCc1ccc2ncccc2c1,-9.66
CC(Cc1ccc(OCc2cc(OC(F)(F)F)ccc2Cl)cc1)N(O)C(N)=O,-7.97
Cc1cn(C2CCN(Cc3cncn3C3CCCC3)CC2)c(=O)[nH]c1=O,-8.94
Cc1ccc(C2CC(n3cc(C=C[N+](=O)[O-])c4ccccc43)=NN2)cc1,-9.31
Cn1c(-c2ccccc2)cc(-c2ccccc2)[n+]1C,-6.51
Cc1cc(C)cc(CC(CC(O)c2cc(C)no2)C(=O)NC2CC(C)(C)N([O])C(C)(C)C2)c1,-10.24
Clc1ncc(OCC2C=CCc3ccccc32)s1,-7.39
N#CC1(c2ccc(Cl)cc2)CCC(=O)CC1,-7.61
Cc1ccccc1C=NNC(=S)N(C)C,-5.72
CC12CCC(O)CC1=CC(O)C21CC(=O)OC1=O,-7.62
COc1ccc(-c2cnc3c(NCc4ccc(S(N)(=O)=O)cc4)nc(N(C)C)nc3n2)cc1,-8.87
O=C(c1cccnc1)c1cc(F)c(F)cc1C(F)(F)F,-6.23
Cc1nn(-c2ccccc2)c(-c2ccccc2)c1C(=O)NCc1ccc(Cl)cc1,-8.93
Cc1ccc(C(=O)Nc2cccc(NC(=O)c3ccco3)c2)s1,-7.76
C=C(CCC1=C(C)CCCC1(C)C)CCC(C(=O)OC1OC(C(O)CO)C(O)C1O)C1CC=C(C)CC1,-9.99
O=[N+]([O-])c1cccc(N=Cc2cc3ccc([N+](=O)[O-])cc3n2C2CCCC2)c1,-9.0
CC(=O)Nc1nc2cc(C(=O)c3cccc(Cl)c3)ccc2o1,-7.65
COc1ccc(CC2COC(=O)C2Cc2ccc(OC(=O)c3cccnc3)c(OC)c2)cc1OC,-9.13
COc1cccc(C=C2CC(=O)NC2=O)c1,-7.04
Fc1ccccc1-c1nc(-c2ccc(C(F)(F)F)cc2)c[nH]1,-6.54
COc1cccn2nc(CCc3nc(-c4cccs4)c[nH]3)nc12,-7.64
Cc1cccc2c(CCNS(=O)(=O)c3cccs3)c[nH]c12,1.49
COc1ccc(F)cc1-n1cnc2cccnc21,-5.75
CCc1ccc(C)c2oc(-c3cc(NS(=O)(=O)CC)cc(Br)c3O)cc12,-8.81
C=C1CCC(OC(=O)NCC[N+](C)(C)C)CC1=NO,-6.58
O=C1C(=O)N(Cc2ccccc2)c2ccccc21,-7.32
O=C(c1ccncc1Br)N1CCCC(n2ccnc2)C1,-7.26
COCCOc1ccc(Cl)cc1C1NC(=O)NC1=O,-6.6
CC(C)=CCn1cc[n+](C)c1,-4.32
OCC1CCCN1c1ccc(Cc2ccc(F)cc2)cn1,-7.35
CCn1c(-c2nonc2N)nc2cnc(-c3ccc(OC)nc3)cc21,-8.31
COc1cccc(CNc2ncnc3c2CC(=O)NC3)c1,-7.04
O=C(O)c1cn(Cc2cccc3ccccc23)c2ccccc12,-8.59
CN(C(=O)C=Cc1cc(O)c(O)c(O)c1)C(CCO)CCc1ccccc1,-7.35
CC1(C)c2cc(N)c(N)cc2C1NP(=S)(N1CCCC1)N1CCOCC1,-8.27
NC1=C(c2ccccc2)C(=O)NNC1,-6.65
Clc1cccc2ccccc12,-6.07
Cc1ccc(F)cc1-c1c[nH]nn1,-6.68
Cc1nc2n(c(=O)c1C(C)C)C(c1ccccc1)=NC(=C1C3=C(CCCC3)N1CC(Br)c1ccccc1N1CCN(C=O)CC1)N2,-9.16
Cc1ccc(SCC(=O)Nc2ccc(F)c(Cl)c2)cc1,-7.55
CCCc1cc(NCc2nncn2C(C)C)ncn1,-6.51
O=S(=O)(Cc1ccccc1)N(Cc1ccco1)C1CC1,-7.01
COc1ccc(C#Cc2ccc(C3=NCCO3)cc2)cc1,-6.66
Oc1c2c(nn1-c1ccccc1)CCS2,-5.9
NS(=O)(=O)c1ccc(C(=O)CSc2nnnn2-c2ccc(C3=NNC(=O)CC3)cc2)cc1,-10.13
Cc1c(C(=O)N(CC(C)(C)C)c2ccc(O)cc2)cnn1C,-7.86
N#Cc1ccc2c(c1)C(=O)C(=O)N2,-7.07
COc1ccc(C(=O)n2c(-c3ccccc3)cn3c4c(=O)n(C)c(=S)n(C)c4nc23)cc1,-8.34
CC1CN(S(=O)(=O)c2cccc(C(=O)OCC(=O)c3c[nH]c4ccccc34)c2)CC(C)O1,-9.17
COC(=O)C1(C(=O)OC)CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,-6.58
CC1(C(=O)O)CCC2(C)CCC3(C)C4=C(C=C5C(=O)OC(c6ccoc6)C5(C)C)C(C)(C)C4CCC3(C)C2C1,-9.84
CC12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCN2C(=O)Nc1cccc(C#N)c1,-9.42
CCn1ncc(Br)c1C(=O)NC(=S)NN,-6.37
COc1ccccc1NC(=O)NC12CC3CC(CC(C3)C1)C2,-7.99
CCOP(=O)(OCC)C(c1cc(OC)c(O)c(OC)c1)N1CCOCC1,-6.3
CC(C)(C#N)C(=O)Nc1cccc2cnccc12,-6.75
O=C(CI)NCCCCCCCCCCCO,-6.62
O=P(O)(O)C(Br)(Br)Br,-5.86
COc1ccc(CNC(=O)C(Cc2ccccc2)NC(=O)Cn2cc(-c3ccc(F)cc3)nn2)cc1,-9.67
CN1CCN(c2ncc3nc(-c4cc(F)cc(F)c4)[nH]c3n2)CN1,-6.6
c1ccc2nc(N3CC(c4ncnn4C4CCCC4)C3)ccc2c1,-8.6
Clc1ccc(CN2CCC3(CCOCC3)C2)cc1,-7.12
Cc1[nH]c2ccc(OC(F)(F)F)cc2c1C1=CCN(CCC2(O)CCN(C(=O)C3COC3)CC2)CC1,-8.7
Cn1c(C(=O)N2CCCS2(=O)=O)cnc1S,-6.45
O=C1C(=Cc2ccc(OCc3ccccc3)c(OCc3ccc([N+](=O)[O-])cc3)c2)SC(=S)N1Nc1ccccc1,-9.62
COC(=O)c1cc(NC(=O)c2cc3cc(Cl)ccc3[nH]2)cc(Cl)c1O,-8.01
CCCN1CC(=O)N(c2c(C)cc(Br)cc2Br)CC1=O,-8.18
CCOC(=O)N1CCN(c2nc(-c3cccnc3)cs2)CC1,-6.47
CC1CCN(C(=O)C(CCCN)N2C(=O)C(C3Cc4ccccc4C3)NC(=O)C2CCCCCO)CC1,-8.4
CCOc1ccc(-c2ccc(S(=O)(=O)NC(C(=O)O)C3CC(O)C3)c(C)c2)cc1,-8.44
O=[N+]([O-])c1ccc2occ3c2c1CCC3,-7.62
CP(C)(=O)CNc1nccc(-n2ccc3c(NCc4ccc(-c5ccccc5)cc4)ncnc32)n1,-8.91
CC(C)(C)c1ccncc1,-5.28
CC(C)c1ccc(Nc2cc(O)nc(O)n2)cc1,-7.93
c1ccc(-c2cc(NCC3CNC3)nc(-c3ccncc3)c2)cc1,-8.03
Cn1c(=O)n(-c2ccc(Cl)cc2)c(=O)n1C,-5.99
Cn1cc(OCCCC(=O)NN=Cc2ccc(C(C)(C)C)cc2)cc1C(=O)Nc1ccc2c(c1)OC(F)(F)O2,-8.96
CC1CCC2=CC(=O)CCC2(C)C1CNc1ccccc1,-8.67
Oc1cccc(-c2nc3cc(-c4ccc5nc(-c6ccccc6)[nH]c5c4)ccc3[nH]2)c1,-8.99
COc1ccccc1N1CCN(Cc2cc3ccccc3s2)CC1,-8.35
CCCCCn1c(Cc2ccccc2)nnc1N1CCNC(C)C1,-8.17
c1cc(-c2ccc(-c3nc4ccc(C5=NCCN5)cc4s3)o2)ccc1C1=NCCCN1,-8.92
CC(C)C(C#N)c1ccccc1,-6.09
CCC(=O)n1c(=S)oc2c3c(ccc21)OCO3,-6.04
Cc1ccc(-n2cc([N+](=O)[O-])c(C(=O)OC(C)C)n2)cc1,-6.63
O=C(Nc1ccccc1F)c1ccc(Cc2cc(-c3ccc4c(c3)CCC4)[nH]n2)cc1,-9.47
Cc1cc(Cl)cnc1NC(c1ccnnc1)c1c(Cl)ccc(Cl)c1Cl,-8.43
Cc1cc(C)c2c(N)c(C(=O)Nc3cc(C4OCCO4)ccc3N)sc2n1,-8.12
Cc1cccc(N(Cc2cc(Cl)cc(C(F)(F)F)c2)C(=O)c2csnn2)c1,-8.03
COc1ccc(C(Cc2ccncc2)c2ccccc2)c(SC)c1,-7.9
CN1CCC(N)C1COC(=O)c1cccc(C(F)(F)F)c1,-6.04
CCCC1(O)CC(OC)C(c2cccc(F)c2)N(C(=O)c2cccc(O)c2)C1,-8.06
O=C(NC(Cc1ccc(OCc2ccccc2)cc1)C(=O)O)c1cccnc1,-8.29
CSc1nc2c(O)cccc2s1,-5.53
O=C(O)c1cc2c(s1)CCN(C(=O)C=Cc1cc(Cl)ccc1-n1cnnn1)C2,-9.07
C=CCOc1ccc(C(=O)c2ccccc2)c(O)c1,-7.31
CSc1ccc(C2CN(C)C3(C(=O)c4cccc5cccc3c45)C23C(=O)c2ccccc2C3=O)cc1,-9.19
Cc1cc(Cl)nc(N)n1,-5.15
C=CCN(Cc1coc(-c2cccc3ccccc23)n1)C1CCS(=O)(=O)C1,-8.64
c1ccc(N2CCC(NCCCn3ccc4ccccc43)CC2)nc1,-7.94
CN(C)C(=O)c1cc2ccc(Nc3ccnc(Nc4cccc(S(N)(=O)=O)c4)n3)cc2[nH]1,-8.77
CCCC[n+]1ccc(N)c2ccccc21,-5.92
O=C(Nc1ccc(F)cc1)c1ccc(S(=O)(=O)NCc2ccco2)cc1,-7.86
CC(=O)NC(C)c1ccc(OC2CCN(c3ccc(OCC4CC4(F)F)cn3)C2)cc1,-7.68
COc1cc(CC(=O)NC(CC(C)C)c2ccccc2N)cc(Br)c1O,-7.87
CC(=O)OCC=C(C)C,-5.14
COc1ccc(-c2noc(C(=O)NN=Cc3ccc(Cl)cc3)n2)cc1,-8.13
Cc1cccc(NC(=O)C(Cc2c[nH]c3ccccc23)NS(=O)(=O)c2ccc(Br)cc2)c1,-9.85
C=CCn1cc(C2(C)CCCC2)c2ccccc21,-7.06
CC(SC1=NCCO1)C(=O)c1ccccc1,-6.59
CC1CCc2c(sc(NC(=O)C(NC(=O)c3ccccc3)c3ccccc3)c2C#N)C1,-9.05
COc1cc2nccc(Oc3ccc(NC(=O)C4CN4C(=O)OCc4ccccc4)cc3F)c2cc1OC,-8.61
O=C(C=Cc1ccc(O)cc1)c1cc(F)c(O)cc1O,-7.02
COc1ccc(Cn2c(SCc3ccc(C(=O)Nc4nc[nH]n4)cc3)nc3cccnc32)cc1,-7.94
C=CC(O)C(CCCCCCC)C(=C)CBr,-6.3
CC1(c2ccc(Cl)cc2Cl)OCC(COc2ccc(N3CCN(C(=O)c4cccnc4N)CC3)cc2)O1,-8.11
CN(c1ccc(OS(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1)S(=O)(=O)c1ccc(Cl)cc1,-9.01
Cc1c(C(C)OCCN2CCCC2)cc(-c2ccc(-c3ccc(N(C)C)cc3)o2)n1C,-8.04
CC(=O)NC(C(=O)N1CCC1C(=O)NC(C=O)Cc1ccncc1)C(c1ccccc1)c1ccccc1,-10.56
Cc1ccc(C(=O)Nn2cnc3ccccc3c2=O)s1,-6.82
Cc1ccc(-n2cc(-c3cn(-c4ccccc4)nc3-c3ccc(Cl)cc3)nn2)c(N)n1,-8.65
Cn1c(C2CCN(S(=O)(=O)C(C)(C)C(F)(F)F)CC2)c(Nc2ccc([N+](=O)[O-])cc2)c(=O)n(C)c1=O,-8.88
N#Cc1ccc(Cl)cc1OP(=O)(c1ccccc1)c1ccccc1,-9.03
CNC(=O)c1cccc(CCCCCCCCCCCO)c1,-8.43
CC(=O)OCC(CO)OC(C)=O,-4.75
Cn1cc(-c2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)cn1,-9.2
CC(C(=O)O)c1ccc2c(-c3cccc(Cl)c3)noc2c1,-8.11
CCn1nc(NC(C)=O)c2oc3ccc(OCCN(C)C)c(CO)c3c21,-7.03
O=C(C=Cc1ccc(F)cc1)c1ccc(O)cc1,-7.45
CC(=O)Nc1ccc(C(O)CCN2CC=C(CO)C2)cc1,-7.43
COc1ccc(C2CCCN2C(=O)c2ccc(O)cc2)cc1Cl,-7.58
CCC1(Cc2ccccc2)OS(=O)(=O)C=C1OCc1ccc(OC2OC(COC3OCC(O)C(O)C3O)C2O)cc1,-8.98
COc1ccc(-c2ccc(OC3OC(CO)C(O)C(O)C3O)cc2)cc1,-6.18
CCc1ccc(NC=C2C(=O)CC(c3ccc(OC)cc3)CC2=O)cc1,-8.01
CCC(C(=O)Nc1[nH]c2cc(N)ccc2c1-c1cc2ccccc2o1)c1ccccc1,-8.77
Cc1c(C(=O)N(C)C2CC(O)C2)nnn1Cc1ccccc1-c1ccccc1,-8.44
Cc1cccc(Oc2ccc3c(c2)c2nc(N)nc(N)c2c(=O)n3C)c1,-7.97
Cc1nn(-c2ccccc2)c(-c2ccc(Cl)cc2)c1SCC(=O)O,-7.68
CC(CCc1ccc[n+]([O-])c1)CC(=O)O,-6.64
CN(C(=O)c1ccc2nc(Cc3cccc(Cl)c3)oc2c1)c1ccccc1,-9.36
Cc1ccc(-n2n[n+]([O-])c3cc([N+](=O)[O-])ccc32)cc1,-7.61
Cc1ccc(S(=O)(=O)NNC(=O)c2ccccc2C(=O)C=Cc2ccc(O)cc2)cc1,-9.54
NC1CCN(c2nc3c(c(=O)[nH]c(=O)n3Cc3ccc(F)cc3)n2-c2cc(F)ccc2Cl)C1,-7.99
Cc1ccc(C(=O)n2cc(-c3ccc(Cl)cc3)nc2-c2ccccc2)cc1,-8.29
Cc1ccc(C#Cc2cnccc2OCc2ccccn2)cc1,-6.64
CC(=O)c1ccc(N2CCN(C(=O)CCc3c(C)nn4c3CCC4)CC2)cc1,-8.66
CC(C)(CNC(=O)c1cccc(-n2cnnn2)c1)NC(=O)c1ccco1,-8.53
Cc1ccc(NC(=O)CSc2nc(-c3ccc(OC(F)F)cc3)no2)cc1C,-8.38
CC1(C)C=CC(O)C2C(C(=O)N3CCCC3)CCC21,-7.87
O=S1(=O)NC(c2ccccc2)Nc2ccc(F)cc21,-7.41
Cc1ncc(-c2ccc(C#N)cc2F)c(OCC2CC2c2ccc(C)n2C)n1,-8.0
O=c1c2cnc3nccn3c2ncn1C1CN2CCC1C2,-6.78
OCc1cc(Cc2ccccc2)cc(NC(=S)C(Cl)=Cc2ccccc2)c1,-9.4
Cc1nc(-c2ccc(C34CNCC3C4)nc2)n(C)n1,-6.71
O=c1c(Cc2ccc(C(F)(F)F)cc2)coc2cc(O)ccc12,-6.76
OC(CCN1CCN(c2ccc(F)cc2Cl)CC1)COCc1ccc(Cl)cc1,-7.25
CC(=O)N1CCc2oc(-c3cc(NC(=O)c4ccccc4Cl)ccn3)nc2C1,-8.48
O=C(Cc1cccs1)Nc1ccnc(NC(=O)NCc2ccccc2)c1,-8.49
COc1cc(C=Cc2ccc3c(Cl)cc(Cl)c(O)c3n2)cc(OC)c1,-7.62
Cn1c(=O)[nH]c(=O)c2c1nc(Sc1nc3ccccc3[nH]1)n2CCCc1ccccc1,-9.36
Cc1cc(C)nc(N2CCC(C(=O)Nc3ccn(C)n3)CC2)n1,-7.72
C=C(CCC(CC1=C(CC(=O)O)C(=O)O1)CS(=O)(=O)O)C(=O)O,-6.43
CC(Nc1c(Nc2cc([N+](=O)[O-])cc(C(C)(C)C#N)c2)c(=O)c1=O)c1ccc(C(F)(F)F)c(F)c1,-8.55
O=S(=O)(c1ccc(-c2ccno2)s1)N1CCc2ccccc2C1,-8.96
C=CCN1CC2CC(C1)c1cc(F)ccc12,-6.11
CCN(C)C(=O)c1ccc(C#Cc2cc(Cl)ccc2OC(=O)N(C)C)cc1,-7.46
COc1ccc(C)cc1C(=O)NNC(=O)C(=Cc1cccnc1)NC(=O)c1ccc(Cl)cc1,-9.08
CNc1nnc(SCCc2ccccc2)s1,-6.91
COC(=O)N1CCC(NC(=O)c2c[nH]nc2OC)CC1c1ccc(Cl)cc1,-8.27
Cn1cc(-c2ccc3nc(NC(=O)c4cc(N)nc(Cl)n4)sc3c2)c(-c2ccc(F)cc2)n1,-9.42
CC(=O)N(Cc1ccc(F)cc1)c1ccc(CC(=O)NCc2ccccn2)cc1,-7.62
COc1cc(C=CC(=O)OCC(C)OC(C)=O)cc(OC)c1OC,-5.55
CC(=O)C=CC=C(Cl)Cl,-6.13
CCOc1cc(C(C)(C)C)ccc1C(=O)CCCCCC(=O)O,-8.13
Nc1nc(-c2ccc(-c3nn[nH]n3)cc2)co1,-6.54
CCc1oc(-c2ccc3c(c2)OCO3)nc1-c1ccc(O)cc1,-7.44
N=C(N)NN=Cc1ccc(-c2ccccc2)s1,-7.22
O=C(C1CCCC1)N(O)P(=O)(OCc1ccccc1)OCc1ccccc1,-8.77
O=C(NCCC1CC(O)CS1)c1ccc2c(c1)CCCC2,-8.71
Nc1nc(-c2cc(Br)cc(OC(F)(F)C(F)F)c2)cn1N=Cc1ccco1,-6.89
CCCCC(C)(CO)Nc1nc(N)nc2c1CC(C)O2,-6.47
COC(=O)C(C)NP(=O)(OCC1OC(n2cc(C)c(=O)[nH]c2=O)CC1N=[N+]=[N-])Oc1ccc(O)cc1,-8.82
Cc1cc(C)cc(C(=O)NC(C)c2cnn(-c3ccc(F)cc3)c2N)c1,-7.84
Oc1ccc(C=NNc2ccccn2)cc1,-6.32
CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N2CCN(CC)CC2)cc1[N+](=O)[O-],-8.24
CC(=O)OCC(=O)C12OC1C(C)C(C)C1CC(=O)C(C)=CC12,-8.03
COc1cc(C2c3cc4c(cc3C(n3cc(CCl)nn3)C3COC(=O)C23)OCO4)cc(OC)c1O,-8.96
CCCCn1c(-c2ccc(Cl)cc2Cl)cn(CC(=O)N2CCc3ccccc32)c1=O,-8.64
CC(C)(C)NC(=O)C(c1ccncc1)N(C(=O)c1ccsc1)c1c(Cl)c(Br)nc2ccccc12,-8.84
CC(CC(C)(C)C)=NNC(=O)c1ccc(F)cc1,-6.62
